stock_id,exp_id,fragB_smiles,oligomer_smiles
SP001,C03,Brc1ccc(-c2ccc(Br)cc2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21
SP002,C01,Ic1ccc(I)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)cc3)cc21
SP003,C02,Cc1cc(Br)c(C)cc1Br,Cc1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c(C)cc1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP004,,Fc1c(F)c(-c2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br,CC1(C)c2ccccc2-c2ccc(-c3c(F)c(F)c(-c4c(F)c(F)c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c(F)c4F)c(F)c3F)cc21
SP005,C04,CC1(C)c2cc(Br)ccc2-c2ccc(Br)cc21,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3-4)cc21
SP006,O01,O=C1c2cc(Br)ccc2-c2ccc(Br)cc21,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3-4)cc21
SP007,,Brc1ccc2c(c1)[nH]c1cc(Br)ccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)[nH]c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc34)cc21
SP008,C06,Brc1c2ccccc2c(Br)c2ccccc12,CC1(C)c2ccccc2-c2ccc(-c3c4ccccc4c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ccccc34)cc21
SP009,,Brc1c2ccccc2c(-c2c3ccccc3c(Br)c3ccccc23)c2ccccc12,CC1(C)c2ccccc2-c2ccc(-c3c4ccccc4c(-c4c5ccccc5c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5ccccc45)c4ccccc34)cc21
SP010,,Brc1ccc2cc(Br)ccc2c1,CC1(C)c2ccccc2-c2ccc(-c3ccc4cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc4c3)cc21
